time-step,cId,c.cpu(full/used),c.storage(full/used),c.ram(full/used),c.currUsersAllocated
421,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c20,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
421,c25,"(224000, 136126)","(147456, 32836)","(311296, 62)","['v0', 'v19', 'v20', 'v1', 'v17', 'v2', 'v9']"
421,c26,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c5,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c16,"(224000, 24074)","(147456, 8537)","(311296, 88)","['v8', 'v11', 'v22', 'v7', 'v24', 'v13', 'v21', 'v10', 'v18', 'v6', 'v14', 'v23', 'v3', 'v5', 'v15']"
481,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c20,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
481,c25,"(224000, 136126)","(147456, 32836)","(311296, 62)","['v0', 'v19', 'v20', 'v1', 'v17', 'v2', 'v9']"
481,c26,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c5,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c20,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
541,c24,"(224000, 24074)","(147456, 8537)","(311296, 88)","['v8', 'v11', 'v22', 'v7', 'v24', 'v13', 'v21', 'v10', 'v18', 'v6', 'v14', 'v23', 'v3', 'v5', 'v15']"
541,c25,"(224000, 136126)","(147456, 32836)","(311296, 62)","['v0', 'v19', 'v20', 'v1', 'v17', 'v2', 'v9']"
541,c26,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c5,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c20,"(224000, 24074)","(147456, 8537)","(311296, 88)","['v8', 'v11', 'v22', 'v7', 'v24', 'v13', 'v21', 'v10', 'v18', 'v6', 'v14', 'v23', 'v3', 'v5', 'v15']"
601,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c24,"(224000, 136126)","(147456, 32836)","(311296, 62)","['v0', 'v19', 'v20', 'v1', 'v17', 'v2', 'v9']"
601,c25,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
601,c26,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c2,"(224000, 24074)","(147456, 8537)","(311296, 88)","['v8', 'v11', 'v22', 'v7', 'v24', 'v13', 'v21', 'v10', 'v18', 'v6', 'v14', 'v23', 'v3', 'v5', 'v15']"
661,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c5,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c20,"(224000, 136126)","(147456, 32836)","(311296, 62)","['v0', 'v19', 'v20', 'v1', 'v17', 'v2', 'v9']"
661,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c25,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
661,c26,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c5,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c11,"(224000, 24074)","(147456, 8537)","(311296, 88)","['v8', 'v11', 'v22', 'v7', 'v24', 'v13', 'v21', 'v10', 'v18', 'v6', 'v14', 'v23', 'v3', 'v5', 'v15']"
721,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c20,"(224000, 136126)","(147456, 32836)","(311296, 62)","['v0', 'v19', 'v20', 'v1', 'v17', 'v2', 'v9']"
721,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c25,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
721,c26,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c4,"(224000, 24074)","(147456, 8537)","(311296, 88)","['v8', 'v11', 'v22', 'v7', 'v24', 'v13', 'v21', 'v10', 'v18', 'v6', 'v14', 'v23', 'v3', 'v5', 'v15']"
781,c5,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c20,"(224000, 136126)","(147456, 32836)","(311296, 62)","['v0', 'v19', 'v20', 'v1', 'v17', 'v2', 'v9']"
781,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c25,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
781,c26,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c5,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c17,"(224000, 24074)","(147456, 8537)","(311296, 88)","['v8', 'v11', 'v22', 'v7', 'v24', 'v13', 'v21', 'v10', 'v18', 'v6', 'v14', 'v23', 'v3', 'v5', 'v15']"
841,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c20,"(224000, 136126)","(147456, 32836)","(311296, 62)","['v0', 'v19', 'v20', 'v1', 'v17', 'v2', 'v9']"
841,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c25,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
841,c26,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
